Date,AAPL,ABBV,ABT,ACN,AMD,AMGN,AMZN,AVGO,BA,BLK,BRK-B,CAT,COST,CRM,CSCO,CVX,DHR,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LLY,LOW,MA,MCD,META,MRK,MSFT,NEE,NKE,NVDA,PEP,PG,PM,QCOM,RTX,SBUX,TMO,TSLA,TXN,UNH,UNP,V,WMT,XOM
2025-04-25,208.371826171875,181.68463134765625,127.06270599365234,291.9299621582031,96.6500015258789,272.2973327636719,188.99000549316406,191.1644744873047,177.9499969482422,889.361328125,530.9600219726562,303.7461242675781,971.8339233398438,266.5308532714844,55.734432220458984,132.75572204589844,196.2081298828125,161.40036010742188,533.80126953125,348.7642517089844,183.7698211669922,226.7727813720703,20.049999237060547,150.38986206054688,240.12644958496094,69.8841552734375,878.0388793945312,217.68856811523438,531.2587280273438,309.5782470703125,545.5679931640625,79.8396987915039,388.8729553222656,64.18124389648438,56.2093505859375,110.98385620117188,128.24298095703125,157.6960906982422,164.4142303466797,145.15882873535156,123.14128875732422,81.5595932006836,422.6846008300781,284.95001220703125,157.8746795654297,407.1588439941406,208.37545776367188,332.6802062988281,94.2536392211914,104.9635238647461
2025-04-28,209.22808837890625,187.81695556640625,127.73326110839844,291.7906494140625,96.38999938964844,274.4788818359375,187.6999969482422,191.32354736328125,182.3000030517578,895.2891235351562,530.9400024414062,304.3507080078125,973.2064208984375,264.3317565917969,55.8621940612793,134.06675720214844,194.9839630126953,160.05502319335938,535.31005859375,348.1205139160156,185.15390014648438,230.43179321289062,20.510000228881836,151.1389923095703,239.80108642578125,69.76752471923828,870.8421630859375,217.925048828125,532.2645263671875,309.6466979980469,548.0302734375,80.27393341064453,388.1882019042969,64.27836608886719,55.906944274902344,108.70439147949219,128.60833740234375,158.50897216796875,163.38084411621094,144.2403564453125,122.72825622558594,81.64718627929688,419.7952575683594,285.8800048828125,157.46754455566406,408.48150634765625,207.71115112304688,335.0028076171875,94.38249206542969,105.02153778076172
2025-04-29,210.29347229003906,188.95944213867188,128.68980407714844,296.98468017578125,96.05999755859375,279.78253173828125,187.38999938964844,190.03128051757812,182.0,901.9322509765625,534.5700073242188,304.68768310546875,986.294677734375,266.4413146972656,56.35359573364258,133.30120849609375,197.9896697998047,159.60658264160156,537.7788696289062,350.1492614746094,195.14698791503906,233.5834503173828,20.34000015258789,151.68380737304688,241.181396484375,70.31175231933594,878.6940307617188,220.01416015625,537.4329223632812,307.388916015625,552.7156372070312,81.74065399169922,391.0462951660156,65.30774688720703,56.131309509277344,108.99431610107422,129.13714599609375,158.91049194335938,164.4335479736328,143.51730346679688,123.642822265625,82.57167053222656,425.96258544921875,292.0299987792969,155.8486785888672,398.00689697265625,209.59666442871094,338.9830322265625,95.1952896118164,104.76050567626953
2025-04-30,211.57785034179688,190.5120391845703,128.9363250732422,297.6612854003906,97.3499984741211,282.0707092285156,184.4199981689453,191.32354736328125,183.24000549316406,895.7986450195312,533.25,306.5411682128906,989.0794067382812,267.3866271972656,56.73688507080078,130.20071411132812,198.38778686523438,158.2512664794922,536.4366455078125,351.60247802734375,194.23350524902344,235.95449829101562,20.100000381469727,152.0729522705078,241.181396484375,70.5061264038086,892.343017578125,220.29991149902344,545.7780151367188,312.4224548339844,547.2925415039062,82.21346282958984,392.25701904296875,64.94843292236328,55.01921844482422,108.89433288574219,130.35826110839844,159.21409606933594,165.49591064453125,145.06112670898438,124.03617095947266,77.90056610107422,427.4272155761719,282.1600036621094,156.47434997558594,400.1562805175781,210.69085693359375,342.9334411621094,96.39463806152344,102.1211929321289
2025-05-01,212.39430236816406,188.79342651367188,129.06454467773438,299.034423828125,96.6500015258789,275.14788818359375,190.1999969482422,196.15460205078125,182.88999938964844,897.6406860351562,530.22998046875,311.1898498535156,993.5946044921875,268.0035400390625,57.12017059326172,130.39208984375,195.78016662597656,160.74261474609375,542.5892944335938,349.46649169921875,194.45497131347656,233.84690856933594,19.979999542236328,150.27310180664062,243.41949462890625,69.28162384033203,788.2635498046875,219.07801818847656,544.3539428710938,306.5483703613281,570.430419921875,80.34147644042969,422.16802978515625,64.14240264892578,55.370399475097656,111.58370208740234,128.40643310546875,156.67755126953125,164.23074340820312,132.11448669433594,125.29492950439453,79.80793762207031,418.3506164550781,280.5199890136719,154.72434997558594,389.69134521484375,209.14724731445312,339.9061584472656,96.5532455444336,102.2662124633789
2025-05-02,204.45889282226562,193.8028106689453,130.97763061523438,303.8105163574219,98.80000305175781,272.665771484375,189.97999572753906,202.427001953125,185.4600067138672,910.4369506835938,539.7999877929688,320.82403564453125,1004.1107177734375,273.7252197265625,58.309364318847656,132.53564453125,198.10911560058594,163.4632110595703,554.6101684570312,355.53314208984375,197.58299255371094,239.59405517578125,20.6200008392334,151.88809204101562,248.96047973632812,69.63148498535156,817.566650390625,223.87698364257812,557.0609130859375,304.90631103515625,595.1632080078125,80.26427459716797,431.97296142578125,65.15235900878906,57.155601501464844,114.47303009033203,128.59872436523438,157.20640563964844,165.0130157470703,136.60914611816406,128.0484619140625,82.41596984863281,421.9971923828125,287.2099914550781,160.834716796875,388.9522399902344,213.26025390625,345.01788330078125,97.8814468383789,102.68192291259766
2025-05-05,198.02691650390625,191.45924377441406,130.76068115234375,306.1786804199219,100.58999633789062,271.5410461425781,186.35000610351562,199.5244140625,186.4600067138672,901.9420776367188,512.1500244140625,320.25909423828125,1010.6734008789062,271.28729248046875,58.299530029296875,129.6648406982422,196.46688842773438,163.64259338378906,548.202880859375,352.8119812011719,197.69374084472656,243.13597106933594,20.270000457763672,150.79844665527344,249.00978088378906,69.68006896972656,815.422607421875,221.90615844726562,558.7836303710938,308.581298828125,597.40625,79.93619537353516,432.856201171875,64.19096374511719,55.94595718383789,113.7931900024414,126.90652465820312,155.5513153076172,167.26329040527344,136.2476348876953,126.4553451538086,79.46733856201172,420.72186279296875,280.260009765625,158.79139709472656,393.7080993652344,211.5408172607422,346.0501403808594,98.45635986328125,99.83958435058594
2025-05-06,197.6485595703125,182.74899291992188,131.2142791748047,302.28814697265625,98.62000274658203,262.2137145996094,185.00999450683594,198.89813232421875,185.9600067138672,896.4942626953125,512.3300170898438,318.0586853027344,1006.3016357421875,272.0137023925781,58.20125198364258,129.7605438232422,189.1516571044922,162.66595458984375,538.2099609375,350.5198974609375,193.70753479003906,243.0774383544922,19.940000534057617,150.2828369140625,245.74630737304688,69.69950866699219,769.423095703125,219.7579345703125,556.6624755859375,309.6271057128906,585.4833984375,76.26939392089844,430.0179443359375,64.61824798583984,55.64354705810547,113.51325988769531,125.70466613769531,155.96261596679688,168.12281799316406,136.69708251953125,126.0324935913086,80.5572509765625,405.52777099609375,275.3500061035156,157.49110412597656,383.6905822753906,208.2875518798828,345.11712646484375,97.68321990966797,101.23175048828125
2025-05-07,195.3983612060547,183.66690063476562,132.09194946289062,304.5667419433594,100.36000061035156,267.4494323730469,188.7100067138672,203.5900421142578,185.55999755859375,901.7754516601562,518.219970703125,317.4639892578125,1002.965576171875,276.8597412109375,58.545230865478516,129.94235229492188,192.17727661132812,150.85691833496094,540.7179565429688,353.8067932128906,198.02590942382812,247.22434997558594,20.309999465942383,153.03611755371094,245.88433837890625,70.3603515625,771.0112915039062,220.25064086914062,563.9719848632812,310.93682861328125,594.953857421875,76.34658813476562,430.0576477050781,65.4145736694336,57.18486785888672,117.03242492675781,126.8392105102539,156.0017852783203,169.35902404785156,140.99636840820312,125.38343048095703,80.4891357421875,406.354736328125,276.2200012207031,161.10845947265625,380.3351745605469,208.92257690429688,347.2511291503906,97.96075439453125,101.13507080078125
2025-05-08,196.63299560546875,181.21591186523438,132.14125061035156,307.3428649902344,101.69999694824219,263.7746887207031,192.0800018310547,206.53240966796875,191.6999969482422,909.8883056640625,513.25,321.3890380859375,1003.523193359375,278.3622741699219,58.682823181152344,131.1385040283203,193.89910888671875,153.74688720703125,554.2183227539062,355.86474609375,197.9613037109375,247.97567749023438,21.0,151.44056701660156,249.90701293945312,69.16499328613281,745.9270629882812,221.2064971923828,564.7586669921875,306.4017333984375,596.1502075195312,74.92811584472656,434.84100341796875,66.34684753417969,57.467769622802734,117.34236145019531,126.36809539794922,155.37501525878906,166.11399841308594,141.77806091308594,126.53400421142578,79.98310089111328,409.2740173339844,284.82000732421875,161.939453125,374.9762878417969,211.8436737060547,348.6605529785156,96.57305908203125,102.54656982421875
